"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/2025","506.97","502.14","507.48","502.32","","0.19%"
"05/19/2025","506.02","506.04","509.51","501.94","","0.00%"
"05/18/2025","506.04","500.28","506.04","506.04","","0.00%"
"05/16/2025","506.04","506.55","509.51","501.97","","-0.10%"
"05/15/2025","506.55","507.35","507.90","504.15","","-0.16%"
"05/14/2025","507.35","507.90","507.90","504.88","","-0.11%"
"05/13/2025","507.90","508.13","508.13","504.48","","-0.05%"
"05/12/2025","508.13","507.85","509.08","503.98","","0.06%"
"05/09/2025","507.85","507.60","509.58","505.26","","0.05%"
"05/08/2025","507.60","508.24","508.73","507.13","","-0.13%"
"05/07/2025","508.24","507.80","508.66","504.49","","0.43%"
"05/06/2025","506.07","505.03","506.14","503.98","","0.21%"
"05/05/2025","505.03","505.76","506.29","503.98","","-0.14%"
"05/02/2025","505.76","505.76","506.42","504.84","","0.00%"
"05/01/2025","505.76","505.32","506.42","504.62","","0.07%"
"04/30/2025","505.43","505.68","506.38","504.60","","-0.05%"
"04/29/2025","505.68","505.44","506.53","504.75","","0.01%"
"04/28/2025","505.65","506.98","507.03","504.75","","-0.26%"
"04/25/2025","506.98","503.92","507.03","503.92","","0.61%"
"04/24/2025","503.92","503.19","504.22","502.14","","0.15%"
"04/23/2025","503.19","503.38","503.73","502.50","","-0.04%"
"04/22/2025","503.38","501.76","503.73","501.76","","0.32%"
"04/21/2025","501.76","501.76","503.24","501.34","","0.00%"
"04/18/2025","501.76","501.76","506.00","501.33","","0.00%"
"04/17/2025","501.76","502.26","506.00","501.76","","-0.12%"
"04/16/2025","502.37","505.44","505.44","502.18","","-0.61%"
"04/15/2025","505.44","506.51","506.51","505.28","","-0.11%"
"04/14/2025","506.00","513.06","513.06","505.22","","-1.38%"
"04/11/2025","513.06","513.06","513.06","505.22","","0.00%"
"04/10/2025","513.06","514.19","514.19","507.63","","-0.22%"
"04/09/2025","514.19","514.36","514.36","508.34","","-0.03%"
"04/08/2025","514.36","513.36","514.36","506.96","","0.19%"
"04/07/2025","513.36","506.50","513.36","504.50","","1.35%"
"04/04/2025","506.50","504.46","507.01","504.19","","0.40%"
"04/03/2025","504.46","502.08","504.77","501.50","","0.49%"
"04/02/2025","502.00","499.35","502.91","499.06","","0.53%"
"04/01/2025","499.35","500.15","501.04","499.05","","-0.16%"
"03/31/2025","500.15","500.41","501.39","499.27","","-0.05%"
"03/28/2025","500.41","499.73","500.41","499.09","","0.14%"
"03/27/2025","499.73","499.46","499.90","499.13","","0.14%"
"03/26/2025","499.02","498.55","499.77","498.24","","0.03%"
"03/25/2025","498.86","500.57","500.82","498.23","","-0.28%"
"03/24/2025","500.28","500.01","500.82","499.44","","0.16%"
"03/21/2025","499.50","499.84","500.04","497.50","","-0.04%"
"03/20/2025","499.70","498.34","499.90","497.50","","0.24%"
"03/19/2025","498.48","498.93","499.00","497.50","","-0.09%"
"03/18/2025","498.93","499.40","499.74","497.32","","-0.09%"
"03/17/2025","499.40","499.40","499.74","497.32","","0.00%"
"03/14/2025","499.40","499.46","499.60","499.20","","-0.02%"
"03/13/2025","499.48","499.48","503.94","499.14","","0.00%"
"03/12/2025","499.48","502.14","502.14","497.70","","-0.53%"
"03/11/2025","502.14","502.73","503.02","502.03","","-0.12%"
"03/10/2025","502.73","504.72","505.22","502.33","","-0.39%"
"03/07/2025","504.72","505.64","505.64","503.82","","-0.18%"
"03/06/2025","505.64","504.24","505.64","503.87","","0.28%"
"03/05/2025","504.24","502.34","504.77","502.13","","0.38%"
"03/04/2025","502.34","503.46","503.77","502.13","","-0.13%"
"03/03/2025","503.00","506.05","506.28","502.69","","-0.60%"
"02/28/2025","506.05","507.47","507.47","504.99","","-0.28%"
"02/27/2025","507.47","506.14","507.77","505.76","","0.26%"
"02/26/2025","506.14","505.74","506.61","504.83","","0.08%"
"02/25/2025","505.74","506.98","506.98","504.33","","-0.24%"
"02/24/2025","506.98","506.34","507.03","505.13","","0.29%"
"02/21/2025","505.50","505.10","506.71","504.50","","0.00%"
"02/20/2025","505.50","506.32","506.61","504.51","","-0.16%"
"02/19/2025","506.32","505.82","506.70","504.85","","0.10%"
"02/18/2025","505.79","506.59","506.59","504.87","","-0.16%"
"02/17/2025","506.59","506.15","506.59","506.15","","0.22%"
"02/14/2025","505.50","507.04","507.06","505.04","","-0.20%"
"02/13/2025","506.50","507.07","507.43","506.48","","-0.11%"
"02/12/2025","507.07","506.06","507.42","504.99","","0.20%"
"02/11/2025","506.06","508.81","509.07","506.06","","-0.54%"
"02/10/2025","508.81","509.43","509.57","508.37","","-0.09%"
"02/07/2025","509.29","509.71","509.89","508.85","","-0.08%"
"02/06/2025","509.71","508.90","509.89","508.64","","0.16%"
"02/05/2025","508.90","507.42","508.99","507.38","","0.37%"
"02/04/2025","507.00","506.06","508.00","504.39","","0.19%"
"02/03/2025","506.06","509.49","509.49","503.50","","-0.67%"
"01/31/2025","509.49","504.47","509.49","504.14","","1.19%"
"01/30/2025","503.50","507.41","507.41","503.20","","-0.77%"
"01/29/2025","507.41","507.29","507.74","505.66","","0.02%"
"01/28/2025","507.29","506.91","507.69","506.40","","0.07%"
"01/27/2025","506.91","505.44","506.99","505.15","","0.29%"
"01/24/2025","505.44","504.60","505.78","503.75","","0.17%"
"01/23/2025","504.60","504.63","504.63","504.38","","0.04%"
"01/22/2025","504.39","502.90","504.85","502.90","","0.30%"
"01/21/2025","502.90","502.38","503.61","501.79","","0.10%"
"01/20/2025","502.38","501.74","502.77","501.74","","0.13%"
"01/17/2025","501.74","501.29","502.50","501.11","","0.09%"
"01/16/2025","501.29","501.93","502.00","501.11","","-0.08%"
"01/15/2025","501.71","502.50","502.50","501.43","","-0.14%"
"01/14/2025","502.42","503.99","503.99","502.02","","-0.31%"
"01/13/2025","503.99","505.29","505.29","502.96","","-0.26%"
"01/10/2025","505.29","506.11","506.11","504.79","","-0.04%"
"01/09/2025","505.50","507.47","507.47","505.02","","-0.59%"
"01/08/2025","508.50","507.01","509.50","506.92","","-0.03%"
"01/07/2025","508.67","508.14","509.76","508.00","","0.10%"
"01/06/2025","508.14","510.06","510.28","508.14","","-0.38%"
"01/03/2025","510.06","509.74","510.11","509.73","","0.11%"
"01/02/2025","509.50","509.70","509.92","509.33","","-0.04%"
"01/01/2025","509.70","509.74","509.74","509.70","","-0.01%"
"12/31/2024","509.74","509.08","509.74","508.70","","0.03%"
"12/30/2024","509.57","507.73","509.90","506.96","","0.36%"
"12/27/2024","507.73","507.33","508.28","507.28","","0.08%"
"12/26/2024","507.33","506.68","507.34","504.30","","0.10%"
"12/25/2024","506.84","506.80","506.89","506.75","","0.01%"
"12/24/2024","506.80","507.75","507.75","506.65","","-0.19%"
"12/23/2024","507.75","507.75","507.75","507.31","","0.09%"
"12/20/2024","507.28","504.56","507.28","504.53","","0.54%"
"12/19/2024","504.56","502.92","504.56","502.92","","0.33%"
"12/18/2024","502.92","503.29","503.29","502.92","","-0.07%"
"12/17/2024","503.29","503.35","503.51","502.95","","-0.01%"
"12/16/2024","503.35","504.90","505.01","503.35","","-0.31%"
"12/13/2024","504.90","504.10","504.90","504.08","","0.16%"
"12/12/2024","504.10","503.73","504.10","503.65","","0.07%"
"12/11/2024","503.73","501.79","503.73","501.79","","0.39%"
"12/10/2024","501.79","504.85","505.10","501.36","","-0.61%"
"12/09/2024","504.85","503.74","504.96","502.83","","0.22%"
"12/06/2024","503.74","507.18","513.92","503.68","","-0.61%"
"12/05/2024","506.83","516.28","516.28","506.37","","-1.83%"
"12/04/2024","516.28","507.64","516.28","506.13","","1.70%"
"12/03/2024","507.64","507.38","507.86","506.03","","0.23%"
"12/02/2024","506.50","508.05","508.44","506.28","","-0.22%"
"11/29/2024","507.64","510.73","510.89","507.28","","-0.61%"
"11/28/2024","510.73","510.73","510.73","509.86","","0.00%"
"11/27/2024","510.73","510.72","510.90","509.29","","0.00%"
"11/26/2024","510.72","510.98","511.07","508.79","","-0.05%"
"11/25/2024","510.98","509.67","511.03","508.78","","0.26%"
"11/22/2024","509.67","509.37","510.77","508.65","","0.06%"
"11/21/2024","509.37","508.92","509.72","507.92","","0.20%"
"11/20/2024","508.33","508.65","508.86","507.63","","-0.06%"
"11/19/2024","508.65","508.49","508.98","507.71","","0.03%"
"11/18/2024","508.49","509.29","509.29","507.71","","-0.16%"
"11/15/2024","509.29","509.03","509.38","507.90","","0.10%"
"11/14/2024","508.80","510.83","511.30","507.92","","-0.40%"
"11/13/2024","510.83","510.61","510.95","510.38","","-0.18%"
"11/12/2024","511.73","511.75","511.75","510.16","","0.00%"
"11/11/2024","511.75","512.15","512.74","511.75","","-0.08%"
"11/08/2024","512.15","511.50","512.61","511.09","","0.13%"
"11/07/2024","511.50","511.82","511.95","510.94","","-0.06%"
"11/06/2024","511.82","512.69","512.69","511.37","","-0.17%"
"11/05/2024","512.69","511.35","512.89","511.33","","0.26%"
"11/04/2024","511.35","513.21","513.50","510.64","","-0.36%"
"11/01/2024","513.21","512.34","513.67","511.63","","0.14%"
"10/31/2024","512.50","512.37","512.81","512.13","","0.03%"
"10/30/2024","512.37","513.30","513.30","512.10","","-0.18%"
"10/29/2024","513.30","513.40","513.78","512.43","","0.03%"
"10/28/2024","513.16","516.20","516.20","513.04","","-0.59%"
"10/25/2024","516.20","515.26","516.20","514.45","","0.23%"
"10/24/2024","515.00","515.52","515.80","514.58","","-0.10%"
"10/23/2024","515.52","516.28","516.28","514.71","","-0.15%"
"10/22/2024","516.28","514.22","516.67","513.84","","0.40%"
"10/21/2024","514.22","513.92","514.78","512.90","","-0.06%"
"10/18/2024","514.52","514.66","514.66","513.42","","-0.03%"
"10/17/2024","514.66","514.28","514.87","513.10","","0.07%"
"10/16/2024","514.28","514.18","515.04","513.98","","0.02%"
"10/15/2024","514.18","515.42","516.59","513.06","","-0.24%"
"10/14/2024","515.42","517.33","517.33","515.14","","-0.40%"
"10/11/2024","517.50","516.78","517.70","516.25","","0.14%"
"10/10/2024","516.78","516.33","518.50","515.63","","0.05%"
"10/09/2024","516.50","518.23","518.23","516.13","","-0.33%"
"10/08/2024","518.23","520.79","520.79","518.08","","-0.35%"
"10/07/2024","520.06","518.64","520.93","518.34","","0.27%"
"10/04/2024","518.64","519.31","521.20","518.28","","-0.13%"
"10/03/2024","519.31","515.76","519.31","515.76","","0.69%"
"10/02/2024","515.76","518.13","518.13","515.03","","-0.28%"
"10/01/2024","517.20","519.93","519.93","517.20","","-0.53%"
"09/30/2024","519.93","519.72","520.01","518.18","","0.04%"
"09/27/2024","519.72","524.19","524.19","518.16","","-0.85%"
"09/26/2024","524.19","525.00","526.56","517.62","","-0.15%"
"09/25/2024","525.00","517.64","525.00","517.21","","1.04%"
"09/24/2024","519.58","518.92","519.83","518.80","","0.13%"
"09/23/2024","518.92","518.73","519.00","518.33","","0.04%"
"09/20/2024","518.73","518.29","518.90","517.64","","0.08%"
"09/19/2024","518.29","516.95","518.44","516.95","","0.15%"
"09/18/2024","517.50","517.29","518.06","517.11","","0.04%"
"09/17/2024","517.29","517.87","517.97","516.87","","-0.11%"
"09/16/2024","517.87","517.83","518.82","517.38","","0.01%"
"09/13/2024","517.83","517.95","518.02","517.38","","-0.13%"
"09/12/2024","518.50","517.70","518.52","517.17","","0.39%"
"09/11/2024","516.50","519.45","519.45","516.30","","-0.57%"
"09/10/2024","519.45","525.71","525.71","519.05","","-1.19%"
"09/09/2024","525.71","526.30","526.30","521.30","","-0.11%"
"09/06/2024","526.30","525.24","526.30","518.81","","0.20%"
"09/05/2024","525.24","518.56","525.24","518.23","","1.30%"
"09/04/2024","518.50","515.85","518.82","515.85","","0.51%"
"09/03/2024","515.85","518.83","518.99","514.89","","-0.57%"
"09/02/2024","518.83","518.83","519.24","518.70","","0.00%"
"08/30/2024","518.83","519.03","519.09","518.38","","-0.04%"
"08/29/2024","519.03","520.84","524.86","518.48","","-0.35%"
"08/28/2024","520.84","525.99","526.53","520.28","","-0.98%"
"08/27/2024","525.99","528.00","528.00","523.01","","-0.38%"
"08/26/2024","528.00","523.98","528.00","523.28","","0.36%"
"08/23/2024","526.11","526.11","526.59","518.07","","0.00%"
"08/22/2024","526.11","525.89","526.50","520.05","","0.04%"
"08/21/2024","525.89","518.16","525.89","518.16","","1.49%"
"08/20/2024","518.16","518.67","518.88","517.86","","-0.10%"
"08/19/2024","518.67","519.69","521.40","518.29","","-0.20%"
"08/16/2024","519.69","526.00","528.55","519.31","","-1.20%"
"08/15/2024","526.00","526.00","526.00","519.31","","0.00%"
"08/14/2024","526.00","526.00","527.86","522.38","","-0.15%"
"08/13/2024","526.79","529.49","529.86","524.50","","-0.51%"
"08/12/2024","529.49","529.49","530.11","527.48","","0.04%"
"08/09/2024","529.30","529.49","530.50","526.63","","-0.04%"
"08/08/2024","529.49","528.55","529.99","521.29","","0.18%"
"08/07/2024","528.55","528.27","529.59","521.29","","0.05%"
"08/06/2024","528.27","528.74","528.74","522.45","","-0.09%"
"08/05/2024","528.74","528.75","529.06","522.80","","1.10%"
"08/02/2024","523.00","522.71","523.90","522.32","","-0.68%"
"08/01/2024","526.59","524.41","527.55","522.30","","0.42%"
"07/31/2024","524.41","525.10","525.59","524.38","","-0.13%"
"07/30/2024","525.10","529.17","529.19","524.51","","-0.77%"
"07/29/2024","529.17","529.17","529.50","525.07","","0.00%"
"07/26/2024","529.17","528.75","529.17","525.13","","0.08%"
"07/25/2024","528.75","528.75","529.30","525.13","","0.00%"
"07/24/2024","528.75","530.13","530.30","524.86","","-0.26%"
"07/23/2024","530.13","529.74","530.50","527.55","","0.07%"
"07/22/2024","529.74","525.62","530.27","520.50","","0.00%"
"07/19/2024","529.74","523.31","529.74","520.50","","1.23%"
"07/18/2024","523.31","522.72","523.31","520.50","","0.11%"
"07/17/2024","522.72","523.94","523.94","520.50","","-0.23%"
"07/16/2024","523.94","521.69","523.94","521.69","","0.43%"
"07/15/2024","521.69","522.53","529.50","520.50","","-0.16%"
"07/12/2024","522.53","524.90","529.50","522.47","","-0.44%"
"07/11/2024","524.86","529.19","529.64","524.43","","-1.67%"
"07/10/2024","533.75","533.75","533.75","527.06","","0.00%"
"07/09/2024","533.75","534.63","534.63","530.29","","-0.16%"
"07/08/2024","534.63","534.63","534.63","527.50","","0.00%"
"07/05/2024","534.63","525.25","534.63","524.74","","1.79%"
"07/04/2024","525.25","526.55","527.06","524.74","","0.00%"
"07/03/2024","525.25","525.25","527.78","523.40","","0.00%"
"07/02/2024","525.25","524.74","527.50","523.40","","0.10%"
"07/01/2024","524.74","528.17","528.17","522.50","","0.00%"
"06/28/2024","524.74","523.50","528.17","522.10","","0.24%"
"06/27/2024","523.50","522.81","523.92","522.10","","0.13%"
"06/26/2024","522.81","522.81","525.85","522.32","","0.00%"
"06/25/2024","522.81","523.42","525.85","522.52","","-0.12%"
"06/24/2024","523.42","522.51","524.55","518.00","","0.17%"
"06/21/2024","522.51","522.73","523.51","517.83","","-0.04%"
"06/20/2024","522.73","522.73","523.50","517.83","","0.00%"
"06/19/2024","522.73","522.73","523.50","518.31","","0.00%"
"06/18/2024","522.73","525.50","526.50","519.85","","-0.53%"
"06/17/2024","525.50","525.50","526.50","521.07","","0.00%"
"06/14/2024","525.50","527.24","527.24","523.31","","-0.33%"
"06/13/2024","527.24","527.24","528.67","524.37","","0.00%"
"06/12/2024","527.24","529.75","531.58","525.36","","-0.47%"
"06/11/2024","529.75","530.42","532.90","528.99","","-0.13%"
"06/10/2024","530.42","529.49","532.35","528.99","","0.18%"
"06/07/2024","529.49","528.57","531.19","528.02","","0.17%"
"06/06/2024","528.57","528.57","530.50","528.02","","0.00%"
"06/05/2024","528.57","529.95","532.52","522.50","","-0.26%"
"06/04/2024","529.95","529.95","531.72","522.50","","0.00%"
"06/03/2024","529.95","521.01","530.45","521.00","","1.72%"
"05/31/2024","521.01","521.01","525.73","521.00","","0.00%"
"05/30/2024","521.01","520.92","524.58","520.92","","0.02%"
"05/29/2024","520.92","519.24","524.58","513.01","","0.32%"
"05/28/2024","519.24","514.23","520.63","513.68","","0.97%"
"05/27/2024","514.23","514.23","517.53","513.68","","0.00%"
"05/24/2024","514.23","512.74","516.16","512.21","","0.29%"
"05/23/2024","512.74","512.74","513.64","512.21","","0.00%"
"05/22/2024","512.74","512.74","513.86","510.68","","0.00%"
"05/21/2024","512.74","512.35","512.74","508.47","","0.08%"
"05/20/2024","512.35","508.60","512.35","508.20","","0.10%"
"05/17/2024","511.83","511.83","511.83","508.26","","0.00%"
"05/16/2024","511.83","511.83","511.83","508.88","","0.00%"
"05/15/2024","511.83","512.35","512.38","508.46","","-0.10%"
"05/14/2024","512.35","512.35","512.67","510.93","","0.00%"
"05/13/2024","512.35","512.29","512.55","511.02","","-0.02%"
"05/10/2024","512.46","512.46","512.46","508.04","","0.00%"
"05/09/2024","512.46","511.88","512.46","509.30","","0.11%"
"05/08/2024","511.88","511.88","511.88","507.61","","0.00%"
"05/07/2024","511.88","511.36","511.88","506.97","","0.10%"
"05/06/2024","511.36","507.88","511.61","506.97","","-0.05%"
"05/03/2024","511.61","511.08","511.61","506.19","","0.10%"
"05/02/2024","511.08","510.24","511.08","506.06","","0.16%"
"05/01/2024","510.24","510.24","510.24","503.94","","0.00%"
"04/30/2024","510.24","508.37","510.24","502.93","","0.37%"
"04/29/2024","508.37","501.97","508.37","499.50","","0.96%"
"04/26/2024","503.52","502.68","508.35","502.24","","-0.90%"
"04/25/2024","508.08","502.31","508.08","500.50","","1.30%"
"04/24/2024","501.56","501.85","501.95","500.50","","-0.06%"
"04/23/2024","501.85","500.82","502.34","500.78","","0.27%"
"04/22/2024","500.52","500.57","500.58","500.00","","-0.33%"
"04/19/2024","502.17","501.00","502.62","500.46","","0.23%"
"04/18/2024","501.00","501.05","509.01","500.46","","-0.01%"
"04/17/2024","501.05","500.75","502.00","500.38","","-0.08%"
"04/16/2024","501.46","500.84","501.54","500.38","","0.12%"
"04/15/2024","500.84","501.03","509.01","500.38","","0.07%"
"04/12/2024","500.50","508.23","508.23","500.12","","-1.52%"
"04/11/2024","508.23","508.38","508.38","500.31","","-0.03%"
"04/10/2024","508.38","508.61","509.44","501.50","","-0.05%"
